subject_nr	trial_nb	version	label	PW_code	PW	C	V	mode	place	voicing	judgment	response_time
11	15	V1_1	a_dangerous_animal	u_occ_bi_NV	upup	p	u	plosive	anterior	voiceless	3	2701.784606
11	6	V1_1	a_dangerous_animal	u_nas_bi	umum	m	u	sonorant	anterior	voiced	4	2116.520852
11	13	V1_1	an_attractive_animal	i_nas_alv	inin	n	i	sonorant	medium	voiced	5	2323.792302
11	4	V1_1	a_harmless_animal	i_app_alv	ilil	l	i	sonorant	medium	voiced	6	1766.980809
11	9	V1_1	a_bird	a_frac_alv_NV	asas	s	a	fricative	medium	voiceless	6	3102.959512
11	5	V1_1	a_harmless_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	7	2458.665094
11	11	V1_1	a_harmless_animal	u_occ_vel_V	ugug	g	u	plosive	posterior	voiced	7	3289.073524
11	14	V1_1	a_small_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	7	1834.993766
11	7	V1_1	a_repulsive_animal	a_occ_vel_NV	akak	k	a	plosive	posterior	voiceless	8	3202.83344
11	8	V1_1	a_large_animal	a_occ_bi_V	abab	b	a	plosive	anterior	voiced	8	2202.417946
11	10	V1_1	a_harmless_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	8	1804.742463
12	12	V2_2	a_dangerous_animal	u_occ_vel_NV	ukuk	k	u	plosive	posterior	voiceless	1	2177.304234
12	14	V2_2	a_dangerous_animal	u_occ_bi_V	ubub	b	u	plosive	anterior	voiced	1	2533.808723
12	9	V2_2	a_repulsive_animal	a_nas_alv	anan	n	a	sonorant	medium	voiced	2	1531.036038
12	5	V2_2	a_large_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	3	2358.196572
