subject_nr	trial_nb	version	label	PW_code	PW	C	V	mode	place	voicing	judgment	response_time
35	11	V1_2	a_large_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	2	1877.010177
35	8	V1_2	a_repulsive_animal	i_nas_alv	inin	n	i	sonorant	medium	voiced	3	1318.148764
35	10	V1_2	a_dangerous_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	3	1954.283886
35	7	V1_2	a_harmless_animal	u_nas_bi	umum	m	u	sonorant	anterior	voiced	4	1694.821603
35	6	V1_2	an_attractive_animal	a_occ_vel_NV	akak	k	a	plosive	posterior	voiceless	5	1126.633371
35	13	V1_2	a_harmless_animal	u_occ_bi_NV	upup	p	u	plosive	anterior	voiceless	5	2145.734075
35	4	V1_2	a_fish	a_frac_alv_NV	asas	s	a	fricative	medium	voiceless	6	1427.904688
35	9	V1_2	a_small_animal	a_occ_bi_V	abab	b	a	plosive	anterior	voiced	6	2466.226845
35	12	V1_2	a_dangerous_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	7	1925.041016
35	14	V1_2	a_bird	i_occ_alv_NV	itit	t	i	plosive	medium	voiceless	7	1537.823621
35	15	V1_2	a_dangerous_animal	u_occ_vel_V	ugug	g	u	plosive	posterior	voiced	8	1215.851095
37	13	V1_2	a_dangerous_animal	i_app_alv	ilil	l	i	sonorant	medium	voiced	2	1372.383875
37	12	V1_2	a_repulsive_animal	i_nas_alv	inin	n	i	sonorant	medium	voiced	3	1662.558588
37	5	V1_2	a_harmless_animal	u_occ_bi_NV	upup	p	u	plosive	anterior	voiceless	4	1908.995741
37	14	V1_2	an_attractive_animal	a_occ_vel_NV	akak	k	a	plosive	posterior	voiceless	4	1942.454705
37	15	V1_2	a_small_animal	a_occ_bi_V	abab	b	a	plosive	anterior	voiced	5	2519.416808
37	10	V1_2	a_fish	a_frac_alv_NV	asas	s	a	fricative	medium	voiceless	6	2115.307982
37	4	V1_2	a_dangerous_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	7	1840.10168
37	7	V1_2	a_dangerous_animal	u_occ_vel_V	ugug	g	u	plosive	posterior	voiced	7	2353.023282
37	11	V1_2	a_dangerous_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	7	1812.531927
37	6	V1_2	a_large_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	8	2478.766606
37	9	V1_2	a_bird	i_occ_alv_NV	itit	t	i	plosive	medium	voiceless	8	2009.571366
38	4	V2_1	a_harmless_animal	u_occ_bi_V	ubub	b	u	plosive	anterior	voiced	2	1010.584158
38	5	V2_1	a_fish	i_fric_alv_NV	isis	s	i	fricative	medium	voiceless	2	932.4326911
38	8	V2_1	a_dangerous_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	3	1651.605887
38	13	V2_1	a_dangerous_animal	i_occ_alv_V	idid	d	i	plosive	medium	voiced	3	1908.018405
38	6	V2_1	a_large_animal	a_occ_bi_NV	apap	p	a	plosive	anterior	voiceless	4	2160.731039
38	14	V2_1	a_bird	a_occ_alv_NV	atat	t	a	plosive	medium	voiceless	5	1020.355657
38	9	V2_1	a_dangerous_animal	i_nas_bi	imim	m	i	sonorant	anterior	voiced	6	1379.279346
38	11	V2_1	a_small_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	6	1790.213666
38	7	V2_1	a_repulsive_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	7	945.0251707
38	12	V2_1	an_attractive_animal	a_nas_alv	anan	n	a	sonorant	medium	voiced	8	1103.304704
38	10	V2_1	a_harmless_animal	i_occ_vel_V	igig	g	i	plosive	posterior	voiced	9	2063.049635
38	15	V2_1	a_harmless_animal	u_occ_vel_NV	ukuk	k	u	plosive	posterior	voiceless	10	1259.379515
41	6	V1_2	a_large_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	0	1808.705152
41	10	V1_2	a_harmless_animal	u_occ_bi_NV	upup	p	u	plosive	anterior	voiceless	0	2398.719713
41	11	V1_2	a_dangerous_animal	i_app_alv	ilil	l	i	sonorant	medium	voiced	0	1338.388426
41	9	V1_2	an_attractive_animal	a_occ_vel_NV	akak	k	a	plosive	posterior	voiceless	1	1979.545909
41	12	V1_2	a_fish	a_frac_alv_NV	asas	s	a	fricative	medium	voiceless	1	1427.298058
41	5	V1_2	a_small_animal	a_occ_bi_V	abab	b	a	plosive	anterior	voiced	2	1952.72397
41	4	V1_2	a_repulsive_animal	i_nas_alv	inin	n	i	sonorant	medium	voiced	6	3351.976436
41	7	V1_2	a_dangerous_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	7	1792.441247
41	15	V1_2	a_dangerous_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	7	2583.942478
41	13	V1_2	a_bird	i_occ_alv_NV	itit	t	i	plosive	medium	voiceless	8	1864.693706
41	14	V1_2	a_harmless_animal	u_nas_bi	umum	m	u	sonorant	anterior	voiced	9	2342.009469
41	8	V1_2	a_dangerous_animal	u_occ_vel_V	ugug	g	u	plosive	posterior	voiced	10	1612.732152
42	8	V2_1	a_fish	i_fric_alv_NV	isis	s	i	fricative	medium	voiceless	1	1508.445447
42	7	V2_1	an_attractive_animal	a_nas_alv	anan	n	a	sonorant	medium	voiced	2	1459.071992
42	9	V2_1	a_repulsive_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	2	1467.232636
42	12	V2_1	a_dangerous_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	2	1226.104355
42	14	V2_1	a_harmless_animal	u_occ_vel_NV	ukuk	k	u	plosive	posterior	voiceless	4	1363.856089
42	5	V2_1	a_bird	a_occ_alv_NV	atat	t	a	plosive	medium	voiceless	5	1123.324941
42	13	V2_1	a_dangerous_animal	i_occ_alv_V	idid	d	i	plosive	medium	voiced	5	1105.93908
42	10	V2_1	a_dangerous_animal	i_nas_bi	imim	m	i	sonorant	anterior	voiced	6	1369.42854
42	11	V2_1	a_large_animal	a_occ_bi_NV	apap	p	a	plosive	anterior	voiceless	7	1164.92029
42	15	V2_1	a_small_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	7	1809.190322
42	4	V2_1	a_harmless_animal	u_occ_bi_V	ubub	b	u	plosive	anterior	voiced	8	1294.706848
42	6	V2_1	a_harmless_animal	i_occ_vel_V	igig	g	i	plosive	posterior	voiced	8	1024.287396
44	6	V2_1	a_dangerous_animal	i_occ_alv_V	idid	d	i	plosive	medium	voiced	2	1982.046398
44	14	V2_1	a_fish	i_fric_alv_NV	isis	s	i	fricative	medium	voiceless	2	1747.726818
44	9	V2_1	a_dangerous_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	3	2162.117037
44	7	V2_1	a_harmless_animal	i_occ_vel_V	igig	g	i	plosive	posterior	voiced	4	2626.79087
44	13	V2_1	a_dangerous_animal	i_nas_bi	imim	m	i	sonorant	anterior	voiced	4	1776.879903
44	8	V2_1	a_repulsive_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	5	1426.319789
44	10	V2_1	a_large_animal	a_occ_bi_NV	apap	p	a	plosive	anterior	voiceless	5	1908.039864
