subject_nr	trial_nb	label	PW_code_left	PW_code_right	chosen_PW_code	chosen_PW	context	contrast	C	V	mode	place	voicing	response_time
8	12	a_dangerous_animal	i_occ_vel_V	u_occ_vel_V	u_occ_vel_V	ugug	_g_g	i-u	g	u	plosive	posterior	voiced	351.635007
14	11	a_harmless_animal	u_occ_vel_V	i_occ_vel_V	i_occ_vel_V	igig	_g_g	i-u	g	i	plosive	posterior	voiced	2217.02979
16	4	a_harmless_animal	i_occ_vel_V	u_occ_vel_V	i_occ_vel_V	igig	_g_g	i-u	g	i	plosive	posterior	voiced	897.5546158
2	9	a_harmless_animal	u_occ_vel_V	i_occ_vel_V	u_occ_vel_V	ugug	_g_g	i-u	g	u	plosive	posterior	voiced	2431.645747
22	8	a_harmless_animal	i_occ_vel_V	u_occ_vel_V	i_occ_vel_V	igig	_g_g	i-u	g	i	plosive	posterior	voiced	2190.890139
34	9	a_harmless_animal	i_occ_vel_V	u_occ_vel_V	i_occ_vel_V	igig	_g_g	i-u	g	i	plosive	posterior	voiced	1205.738901
42	11	a_harmless_animal	i_occ_vel_V	u_occ_vel_V	i_occ_vel_V	igig	_g_g	i-u	g	i	plosive	posterior	voiced	600.4438367
52	5	a_harmless_animal	u_occ_vel_V	i_occ_vel_V	i_occ_vel_V	igig	_g_g	i-u	g	i	plosive	posterior	voiced	451.1990011
6	12	a_harmless_animal	u_occ_vel_V	i_occ_vel_V	u_occ_vel_V	ugug	_g_g	i-u	g	u	plosive	posterior	voiced	1340.684527
62	8	a_harmless_animal	i_occ_vel_V	u_occ_vel_V	i_occ_vel_V	igig	_g_g	i-u	g	i	plosive	posterior	voiced	318.6384104
64	11	a_harmless_animal	i_occ_vel_V	u_occ_vel_V	u_occ_vel_V	ugug	_g_g	i-u	g	u	plosive	posterior	voiced	909.6523286
66	7	a_harmless_animal	i_occ_vel_V	u_occ_vel_V	i_occ_vel_V	igig	_g_g	i-u	g	i	plosive	posterior	voiced	531.1208393
68	4	a_harmless_animal	u_occ_vel_V	i_occ_vel_V	u_occ_vel_V	ugug	_g_g	i-u	g	u	plosive	posterior	voiced	1189.179695
70	7	a_harmless_animal	u_occ_vel_V	i_occ_vel_V	i_occ_vel_V	igig	_g_g	i-u	g	i	plosive	posterior	voiced	400.6655216
72	6	a_harmless_animal	u_occ_vel_V	i_occ_vel_V	i_occ_vel_V	igig	_g_g	i-u	g	i	plosive	posterior	voiced	690.948931
74	6	a_harmless_animal	u_occ_vel_V	i_occ_vel_V	u_occ_vel_V	ugug	_g_g	i-u	g	u	plosive	posterior	voiced	317.2289734
