subject_nr	trial_nb	label	PW_code_left	PW_code_right	chosen_PW_code	chosen_PW	context	contrast	C	V	mode	place	voicing	response_time
48	7	an_attractive_animal	a_nas_alv	i_nas_alv	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	363.4398929
50	5	an_attractive_animal	i_nas_alv	a_nas_alv	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	386.7648233
54	4	an_attractive_animal	i_nas_alv	a_nas_alv	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	656.3355958
56	9	an_attractive_animal	a_nas_alv	i_nas_alv	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	224.4980833
6	7	an_attractive_animal	i_nas_alv	a_nas_alv	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	488.7960862
62	10	an_attractive_animal	i_nas_alv	a_nas_alv	None	x	_n_n	i-a	x	x	x	x	x	2500.045963
64	6	an_attractive_animal	a_nas_alv	i_nas_alv	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	358.8314569
66	6	an_attractive_animal	a_nas_alv	i_nas_alv	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	1346.617669
68	8	an_attractive_animal	i_nas_alv	a_nas_alv	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	879.560418
10	12	a_repulsive_animal	i_nas_alv	a_nas_alv	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	583.4146387
12	8	a_repulsive_animal	i_nas_alv	a_nas_alv	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	2192.083647
